### Comparison (num_trials = 50)
#### New (AAP_SREDG after projecting tangent space)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 12.3595 (1.6669) | 24.6801 (1.8630) | 36.4940 (1.7675) |
| 20 | 2.7703 (1.1678) | 8.2095 (0.9662) | 15.5191 (1.0304) |
| 30 | 0.0480 (0.0382) | 0.6715 (0.9039) | 3.4017 (1.1558) |
| 40 | 0.0360 (0.0045) | 1.2347 (0.9760) | 4.6054 (1.0934) |
| 50 | 0.0330 (0.0043) | 0.2297 (0.4626) | 2.2430 (0.7755) |
| 60 | 0.0284 (0.0034) | 0.3675 (0.7277) | 1.6426 (1.0648) |

#### Old (RPCA on F)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 14.8071 (1.0887) | 25.1267 (1.2722) | 34.5602 (1.4666) |
| 20 | 1.3425 (1.2291) | 6.4238 (1.1441) | 14.1245 (1.1240) |
| 30 | 0.0082 (0.0564) | 1.0501 (0.9815) | 5.0668 (1.1226) |
| 40 | 0.0000 (0.0000) | 0.0231 (0.1632) | 1.2570 (0.9591) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0972 (0.2482) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0799 (0.3447) |

