### Comparison (num_trials = 50)
#### New (AAP_SREDG after projecting tangent space)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 11.8376 (1.2101) | 21.2309 (1.1259) | 29.4567 (1.2117) |
| 20 | 3.1597 (0.7336) | 8.5221 (0.7703) | 14.6622 (0.8096) |
| 30 | 0.1708 (0.2984) | 1.6107 (0.7515) | 4.5621 (0.7500) |
| 40 | 0.1395 (0.2964) | 1.6726 (0.5544) | 5.1044 (0.6233) |
| 50 | 0.0072 (0.0511) | 0.8380 (0.5258) | 2.8143 (0.5426) |
| 60 | 0.0137 (0.0967) | 0.5506 (0.5133) | 2.4408 (0.6106) |

#### Old (RPCA on F)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 14.6479 (1.3195) | 25.3061 (1.5818) | 34.4554 (1.2837) |
| 20 | 1.1601 (1.1257) | 6.4850 (1.1615) | 14.5064 (1.2891) |
| 30 | 0.0000 (0.0000) | 1.0454 (1.0450) | 5.0082 (1.1359) |
| 40 | 0.0000 (0.0000) | 0.0520 (0.2960) | 1.0190 (0.9628) |
| 50 | 0.0000 (0.0000) | 0.0114 (0.0806) | 0.0789 (0.2634) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0265 (0.1489) |

