### Comparison (num_trials = 50)
#### New (AAP_SREDG after projecting tangent space)
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 16.3384 (2.20) (0) | 23.5629 (2.21) (0) | 32.2826 (2.59) (0) | 40.2947 (3.22) (0) | 48.7176 (3.35) (0) |
| 15 | 5.4249 (1.80) (0) | 9.2931 (1.47) (0) | 13.0425 (1.58) (0) | 18.0053 (2.09) (0) | 23.1361 (2.00) (0) |
| 20 | 3.0320 (1.91) (5) | 6.5429 (1.50) (0) | 9.6623 (1.71) (0) | 14.6101 (1.81) (0) | 19.2879 (2.03) (0) |
| 25 | 2.6320 (1.93) (10) | 5.3501 (1.88) (2) | 9.5692 (1.89) (0) | 14.3666 (1.86) (0) | 19.5291 (2.01) (0) |
| 30 | 0.0586 (0.41) (49) | 0.0000 (0.00) (50) | 0.7800 (1.31) (34) | 2.2452 (1.58) (11) | 3.5160 (1.86) (2) |
| 35 | 0.2906 (0.95) (45) | 1.2687 (1.27) (21) | 3.0869 (1.62) (4) | 5.3788 (1.56) (0) | 8.3509 (1.61) (0) |
| 40 | 0.0479 (0.34) (49) | 0.3378 (1.00) (44) | 1.1389 (1.80) (33) | 2.7787 (1.79) (10) | 5.5903 (2.03) (0) |
| 45 | 0.0000 (0.00) (50) | 0.0344 (0.24) (49) | 0.1570 (0.59) (46) | 0.7862 (1.14) (29) | 2.3917 (1.56) (7) |
| 50 | 0.0000 (0.00) (50) | 0.0000 (0.00) (50) | 0.2310 (0.86) (46) | 0.7733 (1.21) (32) | 2.1339 (1.44) (7) |

#### Old (RPCA on F)
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 13.5310 (0.97) (0) | 18.2983 (1.26) (0) | 22.8610 (1.08) (0) | 27.0516 (1.22) (0) | 31.2217 (1.20) (0) |
| 15 | 4.9991 (1.00) (0) | 8.5129 (0.93) (0) | 12.0968 (1.04) (0) | 16.7860 (1.10) (0) | 20.7486 (1.11) (0) |
| 20 | 1.7118 (0.76) (0) | 3.8580 (0.85) (0) | 6.0906 (0.84) (0) | 9.3626 (0.90) (0) | 12.8048 (0.73) (0) |
| 25 | 0.6293 (0.55) (3) | 1.8061 (0.62) (0) | 3.6250 (0.64) (0) | 5.5438 (0.78) (0) | 8.5290 (0.74) (0) |
| 30 | 0.1512 (0.27) (28) | 0.6810 (0.43) (1) | 1.8787 (0.58) (0) | 3.4231 (0.67) (0) | 5.1767 (0.71) (0) |
| 35 | 0.0091 (0.04) (45) | 0.2108 (0.27) (19) | 0.8452 (0.48) (0) | 1.9148 (0.51) (0) | 3.2026 (0.55) (0) |
| 40 | 0.0011 (0.00) (50) | 0.0550 (0.12) (38) | 0.3767 (0.42) (5) | 1.1051 (0.47) (0) | 2.1217 (0.49) (0) |
| 45 | 0.0010 (0.00) (50) | 0.0387 (0.14) (42) | 0.2122 (0.25) (11) | 0.5727 (0.31) (0) | 1.4235 (0.46) (0) |
| 50 | 0.0009 (0.00) (50) | 0.0034 (0.01) (49) | 0.1025 (0.17) (22) | 0.3456 (0.26) (4) | 0.9617 (0.38) (0) |

