### Comparison (num_trials = 50)
#### New (AAP_SREDG)
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 12.3595 (1.49) (0) | 18.2964 (1.51) (0) | 24.2688 (1.81) (0) | 30.6202 (2.01) (0) | 36.8514 (1.63) (0) |
| 15 | 4.6082 (1.57) (0) | 7.7694 (1.57) (0) | 11.6340 (1.37) (0) | 15.5293 (1.37) (0) | 20.0200 (1.38) (0) |
| 20 | 2.7779 (0.84) (0) | 5.2532 (1.12) (0) | 8.2661 (1.01) (0) | 11.7064 (1.21) (0) | 15.4052 (1.49) (0) |
| 25 | 1.9495 (1.17) (7) | 4.6460 (1.36) (0) | 7.3122 (1.17) (0) | 10.7611 (1.18) (0) | 14.2026 (1.07) (0) |
| 30 | 0.0000 (0.00) (50) | 0.0678 (0.23) (44) | 0.5891 (0.84) (26) | 1.7267 (1.21) (3) | 3.3532 (1.29) (1) |
| 35 | 0.3151 (0.62) (37) | 1.3839 (1.02) (8) | 2.5108 (0.94) (0) | 4.5205 (1.06) (0) | 6.6959 (1.00) (0) |
| 40 | 0.0000 (0.00) (50) | 0.2971 (0.64) (40) | 1.0601 (1.01) (17) | 2.7639 (0.93) (1) | 4.5039 (1.18) (0) |
| 45 | 0.0181 (0.13) (49) | 0.1052 (0.41) (45) | 0.3337 (0.62) (37) | 0.8560 (0.91) (17) | 2.1661 (1.03) (1) |
| 50 | 0.0000 (0.00) (50) | 0.0550 (0.30) (46) | 0.1189 (0.37) (42) | 0.7713 (0.84) (20) | 1.8211 (1.01) (2) |

#### Old (RPCA on F)
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 13.1765 (0.87) (0) | 18.3472 (1.08) (0) | 22.7503 (1.10) (0) | 26.9231 (1.13) (0) | 31.2479 (1.03) (0) |
| 15 | 4.9679 (0.99) (0) | 8.3395 (0.92) (0) | 12.3272 (0.89) (0) | 16.2109 (0.96) (0) | 20.6816 (0.93) (0) |
| 20 | 1.9114 (0.63) (0) | 3.8815 (0.85) (0) | 6.1946 (0.90) (0) | 9.3679 (0.75) (0) | 12.6390 (0.80) (0) |
| 25 | 0.6280 (0.51) (2) | 1.9122 (0.66) (0) | 3.4303 (0.61) (0) | 5.5486 (0.67) (0) | 8.1289 (0.84) (0) |
| 30 | 0.1362 (0.31) (25) | 0.7671 (0.51) (0) | 1.8587 (0.59) (0) | 3.2378 (0.54) (0) | 4.9799 (0.65) (0) |
| 35 | 0.0254 (0.09) (42) | 0.2206 (0.25) (14) | 0.7488 (0.40) (1) | 1.7681 (0.55) (0) | 3.4452 (0.65) (0) |
| 40 | 0.0010 (0.00) (50) | 0.0282 (0.08) (41) | 0.3545 (0.33) (5) | 0.9667 (0.42) (0) | 2.0424 (0.49) (0) |
| 45 | 0.0022 (0.01) (49) | 0.0255 (0.06) (42) | 0.2264 (0.26) (13) | 0.5807 (0.32) (0) | 1.3214 (0.41) (0) |
| 50 | 0.0009 (0.00) (50) | 0.0298 (0.12) (46) | 0.0736 (0.13) (31) | 0.3410 (0.28) (4) | 0.9006 (0.38) (0) |

